user_id ID,birth_year,gender,province,education_level,employment_status,avg_monthly_income,avg_income_category,avg_monthly_expense,avg_expense_category,financial_standing,main_fintech_app,ewallet_spending,investment_type,loan_usage_purpose,outstanding_loan,financial_anxiety_score,digital_time_spent_per_day
U0087,2008,Female,Riau,Junior High School,Civil Servant/BUMN,> Rp15.000.000,>15jt,> Rp15.000.000,>15jt,Break-even,Kredivo,Rp500.001 - Rp1.000.000,Saham,Tidak Ada,0.0,2,2.6
U0088,2000,Female,Nusa Tenggara Timur,Diploma I/II/III,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,GoPay,Rp500.001 - Rp1.000.000,Saham,Tidak Ada,0.0,1,9.5
U0089,2012,Female,Sulawesi Tengah,Bachelor (S1)/Diploma IV,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Akulaku,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,5,8.9
U0092,2008,Female,Sumatera Barat,Postgraduate,Others,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,OVO,< Rp500.000,,Tidak Ada,0.0,4,2.5
U0100,2004,Male,Kalimantan Barat,Senior High School,Civil Servant/BUMN,Rp10.000.001 - Rp15.000.000,10-15jt,Rp6.000.001 - Rp10.000.000,6-10jt,Surplus,Kredivo,< Rp500.000,Emas,Tidak Ada,0.0,1,3.5
U0105,2012,Female,Kepulauan Riau,Bachelor (S1)/Diploma IV,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,ShopeePay,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,5,8.6
U0106,2000,Male,Papua Barat,Senior High School,Civil Servant/BUMN,Rp4.000.001 - Rp6.000.000,4-6jt,Rp2.000.001 - Rp4.000.000,2-4jt,Surplus,OVO,Rp1.000.001 - Rp3.000.000,Emas,,0.0,5,8.6
U0107,2004,Male,Jawa Tengah,Bachelor (S1)/Diploma IV,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,ShopeePay,< Rp500.000,Reksadana,Tidak Ada,0.0,2,8.1
U0115,2007,Female,Maluku Utara,Diploma I/II/III,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,LinkAja,< Rp500.000,Reksadana,Tidak Ada,0.0,4,4.1
U0117,1999,Female,Sulawesi Utara,Senior High School,Private Employee,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,GoPay,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,2,5.9
U0120,1999,Female,Kepulauan Bangka Belitung,Bachelor (S1)/Diploma IV,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,LinkAja,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,1,7.9
U0121,2011,Female,Jawa Barat,Bachelor (S1)/Diploma IV,Student,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,ShopeePay,< Rp500.000,Saham,Tidak Ada,0.0,4,8.4
U0126,2007,Male,Papua,Diploma I/II/III,Private Employee,Rp10.000.001 - Rp15.000.000,10-15jt,Rp6.000.001 - Rp10.000.000,6-10jt,Surplus,OVO,Rp1.000.001 - Rp3.000.000,Emas,Tidak Ada,0.0,4,2.0
U0127,1999,Female,Kalimantan Barat,Diploma I/II/III,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Kredivo,Rp1.000.001 - Rp3.000.000,Reksadana,Tidak Ada,0.0,5,8.5
U0128,2004,Female,Sumatera Utara,Senior High School,Student,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,Akulaku,Rp1.000.001 - Rp3.000.000,Saham,Tidak Ada,0.0,3,5.6
U0130,2002,Female,Papua Pegunungan,Senior High School,Entrepreneur,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,Kredivo,< Rp500.000,Reksadana,Tidak Ada,0.0,3,8.0
U0132,2006,Male,Sulawesi Selatan,Elementary School,Entrepreneur,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Kredivo,< Rp500.000,Reksadana,Tidak Ada,0.0,4,6.5
U0133,1998,Male,Sumatera Utara,Senior High School,Not Working,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,Dana,Rp500.001 - Rp1.000.000,Kripto,Tidak Ada,0.0,3,9.9
U0138,2006,Female,Jawa Timur,Diploma I/II/III,Private Employee,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,GoPay,Rp1.000.001 - Rp3.000.000,Reksadana,Tidak Ada,0.0,2,6.3
U0142,2003,Male,Kalimantan Barat,Senior High School,Not Working,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,GoPay,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,2,3.7
U0144,2007,Male,Kalimantan Tengah,Senior High School,Private Employee,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,Akulaku,< Rp500.000,Reksadana,Tidak Ada,0.0,3,6.4
U0145,2002,Male,Kepulauan Riau,Senior High School,Student,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,LinkAja,< Rp500.000,,Tidak Ada,0.0,2,7.6
U0146,2011,Male,DI Yogyakarta,Bachelor (S1)/Diploma IV,Student,< Rp2.000.000,<2jt,N/A,N/A,Surplus,OVO,Rp500.001 - Rp1.000.000,None,Tidak Ada,0.0,1,11.5
U0152,2011,Male,Jawa Barat,Senior High School,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,ShopeePay,> Rp3.000.000,Reksadana,Tidak Ada,0.0,5,5.2
U0154,2008,Male,Sumatera Selatan,Bachelor (S1)/Diploma IV,Civil Servant/BUMN,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,OVO,Rp500.001 - Rp1.000.000,Saham,Tidak Ada,0.0,1,5.1
U0156,2009,Male,Papua Pegunungan,Senior High School,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Kredivo,< Rp500.000,Reksadana,Tidak Ada,0.0,4,6.8
U0157,2000,Female,Kalimantan Selatan,Junior High School,Not Working,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,Kredivo,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,4,9.2
U0159,2011,Male,Banten,Senior High School,Entrepreneur,> Rp15.000.000,>15jt,> Rp15.000.000,>15jt,Break-even,GoPay,Rp1.000.001 - Rp3.000.000,Saham,Tidak Ada,0.0,2,7.4
U0160,1997,Female,Papua Pegunungan,Diploma I/II/III,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,OVO,Rp500.001 - Rp1.000.000,Saham,Tidak Ada,0.0,1,8.2
U0161,2010,Male,Sulawesi Utara,Diploma I/II/III,Civil Servant/BUMN,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,GoPay,Rp500.001 - Rp1.000.000,Kripto,Tidak Ada,0.0,2,7.3
U0171,2008,Female,Banten,Diploma I/II/III,Private Employee,N/A,N/A,< Rp2.000.000,<2jt,Deficit,Dana,Rp1.000.001 - Rp3.000.000,Reksadana,Tidak Ada,0.0,3,6.3
U0173,2008,Female,Riau,Senior High School,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,Kredivo,< Rp500.000,Reksadana,Tidak Ada,0.0,5,10.6
U0175,2008,Female,DI Yogyakarta,Senior High School,Student,Rp4.000.001 - Rp6.000.000,4-6jt,Rp2.000.001 - Rp4.000.000,2-4jt,Surplus,LinkAja,Rp1.000.001 - Rp3.000.000,Reksadana,Tidak Ada,0.0,1,7.4
U0176,2006,Male,Maluku,Bachelor (S1)/Diploma IV,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,OVO,< Rp500.000,Kripto,Tidak Ada,0.0,2,6.9
U0177,2010,Female,DI Yogyakarta,Senior High School,Private Employee,> Rp15.000.000,>15jt,> Rp15.000.000,>15jt,Break-even,OVO,Rp500.001 - Rp1.000.000,None,Tidak Ada,0.0,4,4.1
U0178,1999,Male,Sumatera Selatan,Diploma I/II/III,Not Working,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,Kredivo,Rp1.000.001 - Rp3.000.000,,Tidak Ada,0.0,5,6.5
U0180,2006,Male,Banten,Senior High School,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Kredivo,Rp500.001 - Rp1.000.000,Emas,Tidak Ada,0.0,2,6.1
U0181,2012,Male,Bali,Senior High School,Student,N/A,N/A,< Rp2.000.000,<2jt,Deficit,OVO,< Rp500.000,Saham,Tidak Ada,0.0,1,6.6
U0182,2003,Male,Kalimantan Timur,Senior High School,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,ShopeePay,< Rp500.000,Emas,Tidak Ada,0.0,2,10.1
U0183,2008,Female,DI Yogyakarta,Elementary School,Student,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,LinkAja,Rp1.000.001 - Rp3.000.000,Reksadana,Tidak Ada,0.0,2,3.1
U0185,1999,Male,Maluku Utara,Diploma I/II/III,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,ShopeePay,< Rp500.000,Kripto,Tidak Ada,0.0,1,3.0
U0189,2003,Female,Jambi,Bachelor (S1)/Diploma IV,Entrepreneur,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Kredivo,> Rp3.000.000,Kripto,Tidak Ada,0.0,4,4.5
U0193,2003,Female,Jawa Timur,Diploma I/II/III,Others,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,ShopeePay,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,3,8.9
U0194,2008,Female,Papua Barat,Senior High School,Student,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,GoPay,< Rp500.000,Kripto,Tidak Ada,0.0,2,7.5
U0197,2012,Female,Bali,Senior High School,Not Working,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,OVO,Rp1.000.001 - Rp3.000.000,None,Tidak Ada,0.0,2,7.0
U0198,2012,Female,Sulawesi Tenggara,Bachelor (S1)/Diploma IV,Not Working,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,Akulaku,< Rp500.000,Reksadana,Tidak Ada,0.0,4,6.4
U0199,2009,Female,Nusa Tenggara Timur,Senior High School,Student,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,LinkAja,< Rp500.000,Emas,Tidak Ada,0.0,2,8.8
U0201,2009,Female,Maluku Utara,Postgraduate,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,OVO,> Rp3.000.000,Kripto,Tidak Ada,0.0,4,5.6
U0206,2010,Male,Kepulauan Bangka Belitung,Bachelor (S1)/Diploma IV,Entrepreneur,Rp10.000.001 - Rp15.000.000,10-15jt,Rp6.000.001 - Rp10.000.000,6-10jt,Surplus,GoPay,< Rp500.000,Saham,Tidak Ada,0.0,4,4.4
U0214,2010,Male,Sulawesi Selatan,Postgraduate,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,OVO,< Rp500.000,Reksadana,Tidak Ada,0.0,1,4.2
U0215,2009,Female,Sulawesi Utara,Diploma I/II/III,Student,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,ShopeePay,Rp500.001 - Rp1.000.000,Saham,Tidak Ada,0.0,5,10.9
U0216,2001,Male,Lampung,Senior High School,Student,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,OVO,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,4,9.0
U0218,2008,Female,Kalimantan Barat,Senior High School,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,LinkAja,Rp500.001 - Rp1.000.000,Kripto,Tidak Ada,0.0,5,9.5
U0219,2008,Female,Kalimantan Timur,Bachelor (S1)/Diploma IV,Private Employee,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,LinkAja,Rp500.001 - Rp1.000.000,Emas,Tidak Ada,0.0,2,10.1
U0220,2002,Female,Maluku Utara,Junior High School,Private Employee,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,OVO,Rp500.001 - Rp1.000.000,Emas,Tidak Ada,0.0,5,4.1
U0221,2012,Female,DKI Jakarta,Diploma I/II/III,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Akulaku,Rp1.000.001 - Rp3.000.000,Reksadana,Tidak Ada,0.0,4,4.1
U0223,2005,Male,DKI Jakarta,Junior High School,Student,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Akulaku,Rp1.000.001 - Rp3.000.000,Saham,Tidak Ada,0.0,1,3.5
U0228,2002,Male,Kalimantan Barat,Senior High School,Student,N/A,N/A,< Rp2.000.000,<2jt,Deficit,OVO,Rp500.001 - Rp1.000.000,Saham,Tidak Ada,0.0,4,6.6
U0231,2011,Female,Aceh,Diploma I/II/III,Private Employee,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,Kredivo,< Rp500.000,Saham,Tidak Ada,0.0,2,8.5
U0234,1997,Male,Gorontalo,Bachelor (S1)/Diploma IV,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,OVO,Rp500.001 - Rp1.000.000,Kripto,Tidak Ada,0.0,4,4.2
U0235,2008,Male,Kalimantan Barat,Diploma I/II/III,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,GoPay,> Rp3.000.000,Saham,Tidak Ada,0.0,5,10.9
U0237,2011,Male,Lampung,Bachelor (S1)/Diploma IV,Student,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,GoPay,< Rp500.000,Saham,Tidak Ada,0.0,1,8.0
U0242,2010,Female,Jambi,Elementary School,Civil Servant/BUMN,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,ShopeePay,> Rp3.000.000,,Tidak Ada,0.0,2,9.1
U0243,2010,Female,Sulawesi Selatan,Senior High School,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,GoPay,Rp500.001 - Rp1.000.000,Reksadana,Tidak Ada,0.0,1,10.6
U0246,2008,Female,Kalimantan Barat,Senior High School,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,OVO,< Rp500.000,Kripto,Tidak Ada,0.0,4,1.0
U0249,2012,Female,Nusa Tenggara Timur,Senior High School,Not Working,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,Dana,Rp1.000.001 - Rp3.000.000,Reksadana,Tidak Ada,0.0,2,5.5
U0250,2008,Female,Papua Barat Daya,Junior High School,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,LinkAja,> Rp3.000.000,Emas,Tidak Ada,0.0,2,7.3
U0251,2010,Male,Sulawesi Selatan,Junior High School,Private Employee,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,Kredivo,Rp500.001 - Rp1.000.000,Saham,Tidak Ada,0.0,5,8.1
U0253,1999,Female,Jawa Tengah,Diploma I/II/III,Private Employee,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Kredivo,Rp1.000.001 - Rp3.000.000,Kripto,Tidak Ada,0.0,2,6.4
U0261,2002,Female,Sulawesi Tengah,Bachelor (S1)/Diploma IV,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,OVO,> Rp3.000.000,Reksadana,Tidak Ada,0.0,1,4.9
U0266,1998,Female,Kalimantan Barat,Diploma I/II/III,Student,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,LinkAja,< Rp500.000,None,Tidak Ada,0.0,2,9.2
U0268,2006,Female,Jawa Barat,Diploma I/II/III,Private Employee,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,GoPay,Rp500.001 - Rp1.000.000,Emas,Tidak Ada,0.0,1,6.7
U0271,2009,Female,DI Yogyakarta,Junior High School,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,LinkAja,< Rp500.000,Reksadana,Tidak Ada,0.0,3,7.6
U0272,2011,Female,DKI Jakarta,Senior High School,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,GoPay,Rp500.001 - Rp1.000.000,Emas,Tidak Ada,0.0,3,4.9
U0274,1997,Female,Sulawesi Selatan,Diploma I/II/III,Private Employee,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,Dana,< Rp500.000,None,Tidak Ada,0.0,3,10.5
U0276,1999,Male,Papua Barat Daya,Diploma I/II/III,Entrepreneur,> Rp15.000.000,>15jt,> Rp15.000.000,>15jt,Break-even,ShopeePay,> Rp3.000.000,Reksadana,Tidak Ada,0.0,4,9.8
U0277,2002,Female,Papua,Diploma I/II/III,Entrepreneur,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,Akulaku,Rp1.000.001 - Rp3.000.000,Emas,Tidak Ada,0.0,3,6.0
U0278,2012,Female,Nusa Tenggara Timur,Senior High School,Civil Servant/BUMN,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,Kredivo,< Rp500.000,None,Tidak Ada,0.0,1,5.2
U0279,2000,Female,Sumatera Selatan,Diploma I/II/III,Student,Rp4.000.001 - Rp6.000.000,4-6jt,Rp4.000.001 - Rp6.000.000,4-6jt,Break-even,Kredivo,Rp1.000.001 - Rp3.000.000,Saham,Tidak Ada,0.0,5,9.8
U0281,2008,Female,Sulawesi Tenggara,Senior High School,Civil Servant/BUMN,Rp6.000.001 - Rp10.000.000,6-10jt,Rp10.000.001 - Rp15.000.000,10-15jt,Deficit,OVO,> Rp3.000.000,Reksadana,Tidak Ada,0.0,3,11.9
U0286,2006,Male,DKI Jakarta,Senior High School,Student,< Rp2.000.000,<2jt,< Rp2.000.000,<2jt,Break-even,LinkAja,> Rp3.000.000,Saham,Tidak Ada,0.0,5,8.1
U0291,2004,Male,Papua Barat Daya,Diploma I/II/III,Student,Rp2.000.001 - Rp4.000.000,2-4jt,Rp4.000.001 - Rp6.000.000,4-6jt,Deficit,Akulaku,Rp500.001 - Rp1.000.000,None,Tidak Ada,0.0,1,8.8
